id,mental_time,pointing_time,typing_time,date
0,,,0.6757907,20/02/2021 17:15:04
0,0.2681845,,,20/02/2021 17:15:04
0,,0.7912272,,20/02/2021 17:15:05
0,0.331678,,,20/02/2021 17:15:06
0,,0.8010968,,20/02/2021 17:15:07
0,1.175966,,,20/02/2021 17:15:35
0,,0.953766,,20/02/2021 17:15:36
0,0.2438814,,,20/02/2021 17:15:36
0,0.4320527,,,20/02/2021 17:16:22
0,,0.9511203,,20/02/2021 17:16:23
0,,0.6112522,,20/02/2021 17:16:24
0,1.647349,,,20/02/2021 17:16:51
0,,0.4955351,,20/02/2021 17:16:52
0,,0.107946,,20/02/2021 17:16:52
0,1.212211,,,20/02/2021 17:17:19
0,,0.1476783,,20/02/2021 17:17:19
0,,0.1606807,,20/02/2021 17:17:20
0,1.188201,,,20/02/2021 17:17:46
0,,0.4796814,,20/02/2021 17:17:46
0,0.5241083,,,20/02/2021 17:17:47
0,,0.5716349,,20/02/2021 17:17:48
1,,,0.6917701,20/02/2021 17:18:13
1,0.5640877,,,20/02/2021 17:18:14
1,,0.2270211,,20/02/2021 17:18:14
1,,0.005566861,,20/02/2021 17:18:15
1,0.7285299,,,20/02/2021 17:18:15
1,,0.7535215,,20/02/2021 17:18:16
1,,0.50119,,20/02/2021 17:18:17
1,,0.208147,,20/02/2021 17:18:18
1,,0.895434,,20/02/2021 17:18:19
1,1.293965,,,20/02/2021 17:18:48
1,,0.5286174,,20/02/2021 17:18:48
1,,0.4368242,,20/02/2021 17:18:49
1,,,,20/02/2021 17:18:50
1,,0.7016802,,20/02/2021 17:18:51
1,,0.2302539,,20/02/2021 17:18:52
1,,0.241259,,20/02/2021 17:18:53
1,0.4230413,,,20/02/2021 17:18:54
1,,0.01574252,,20/02/2021 17:18:54
1,,0.4124186,,20/02/2021 17:18:54
0,0.5319326,,,20/02/2021 17:24:55
0,1.436203,,,20/02/2021 17:25:22
0,,0.5722271,,20/02/2021 17:25:23
0,1.224149,,,20/02/2021 17:25:49
0,,0.2202185,,20/02/2021 17:25:49
0,1.115636,,,20/02/2021 17:26:16
0,0.2278713,,,20/02/2021 17:26:16
2,,,0.3187154,20/02/2021 17:27:33
2,0.3477698,,,20/02/2021 17:27:34
2,,0.3035302,,20/02/2021 17:27:34
2,0.2152532,,,20/02/2021 17:27:35
2,1.344077,,,20/02/2021 17:28:03
2,,0.2287495,,20/02/2021 17:28:03
2,0.2282644,,,20/02/2021 17:28:05
2,0.5933092,,,20/02/2021 17:29:09
2,,0.2221491,,20/02/2021 17:29:09
2,1.016019,,,20/02/2021 17:29:27
2,1.120064,,,20/02/2021 17:29:37
2,0.9438879,,,20/02/2021 17:29:44
2,,0.3547477,,20/02/2021 17:29:44
2,1.459901,,,20/02/2021 17:30:13
0,0.2278004,,,20/02/2021 17:43:59
0,,0.9200164,,20/02/2021 17:44:00
0,,0.5057833,,20/02/2021 17:44:00
0,,0.2461142,,20/02/2021 17:44:01
0,1.216294,,,20/02/2021 17:44:27
0,,1.001076,,20/02/2021 17:44:28
3,,,1.335167,20/02/2021 18:20:35
3,0.2679417,,,20/02/2021 18:20:35
3,0.2039898,,,20/02/2021 18:20:37
3,1.336315,,,20/02/2021 18:21:06
3,0.2006767,,,20/02/2021 18:21:06
4,,,0.5185479,20/02/2021 18:23:16
4,0.5199079,,,20/02/2021 18:23:16
4,0.6456453,,,20/02/2021 18:23:18
4,1.344518,,,20/02/2021 18:23:46
4,0.1837749,,,20/02/2021 18:23:47
0,0.7121695,,,20/02/2021 18:41:36
0,,0.6181393,,20/02/2021 18:41:37
0,,2.612242,,20/02/2021 18:41:40
0,0.7843632,,,20/02/2021 18:41:41
0,,0.5245606,,20/02/2021 18:41:41
0,,0.332566,,20/02/2021 18:41:42
0,,0.3785728,,20/02/2021 18:41:43
0,,,,20/02/2021 18:41:43
0,,0.4129359,,20/02/2021 18:41:44
0,,0.03290681,,20/02/2021 18:41:44
0,0.2760564,,,20/02/2021 18:41:45
1,0.1878476,,,20/02/2021 18:54:05
1,,0.2203678,,20/02/2021 18:54:05
1,0.1952062,,,20/02/2021 18:54:06
1,,0.1965341,,20/02/2021 18:54:06
1,,0.1195671,,20/02/2021 18:54:06
1,,0.1808275,,20/02/2021 18:54:07
1,,0.1523409,,20/02/2021 18:54:08
1,1.218164,,,20/02/2021 18:54:10
1,,0.3310671,,20/02/2021 18:54:11
1,,0.3490223,,20/02/2021 18:54:12
1,,0.2575044,,20/02/2021 18:54:12
1,0.1833052,,,20/02/2021 18:59:04
1,0.6675855,,,20/02/2021 18:59:06
1,,0.8139288,,20/02/2021 18:59:07
1,0.5917718,,,20/02/2021 18:59:08
1,,1.104797,,20/02/2021 18:59:10
1,0.3154316,,,20/02/2021 19:05:11
1,,0.7660436,,20/02/2021 19:05:12
1,,0.02989099,,20/02/2021 19:05:13
1,,0.2558826,,20/02/2021 19:05:15
1,,0.1257999,,20/02/2021 19:05:15
1,,0.6381381,,20/02/2021 19:05:18
1,0.9315455,,,20/02/2021 19:09:44
1,,0.8384804,,20/02/2021 19:09:45
1,0.3354891,,,20/02/2021 19:09:48
1,,0.6873202,,20/02/2021 19:09:49
1,,0.20317,,20/02/2021 19:09:50
2,0.7360043,,,20/02/2021 19:10:15
2,,0.5321431,,20/02/2021 19:10:16
2,,0.2077651,,20/02/2021 19:10:16
2,0.4751589,,,20/02/2021 19:10:17
2,,0.6634514,,20/02/2021 19:10:18
2,,2.415561,,20/02/2021 19:10:20
2,,0.556897,,20/02/2021 19:10:21
2,,2.052163,,20/02/2021 19:10:25
2,,0.1557675,,20/02/2021 19:10:26
2,,0.1330754,,20/02/2021 19:10:27
2,,0.7499753,,20/02/2021 19:10:28
2,0.200295,,,20/02/2021 19:10:29
2,,0.2993307,,20/02/2021 19:10:29
2,,0.1184579,,20/02/2021 19:10:29
2,,0.1624328,,20/02/2021 19:10:34
2,,0.1924769,,20/02/2021 19:10:35
2,,0.2752829,,20/02/2021 19:11:10
1,0.3683825,,,20/02/2021 19:15:05
1,,1.06126,,20/02/2021 19:15:06
1,,2.249222,,20/02/2021 19:15:08
1,,0.3396901,,20/02/2021 19:15:10
1,,0.1740064,,20/02/2021 19:15:10
1,,0.01673848,,20/02/2021 19:15:10
1,0.4921666,,,20/02/2021 19:15:11
1,,,,20/02/2021 19:15:11
1,,0.2262863,,20/02/2021 19:15:11
1,,0.1101714,,20/02/2021 19:15:14
1,,0.4603294,,20/02/2021 19:15:14
1,,0.6667224,,20/02/2021 19:17:35
1,,0.02934255,,20/02/2021 19:17:35
1,,0.1776753,,20/02/2021 19:17:36
1,,0.1340536,,20/02/2021 19:17:36
1,,0.4509245,,20/02/2021 19:17:41
1,,0.982118,,20/02/2021 19:17:49
1,,1.305352,,20/02/2021 19:17:51
1,0.8077894,,,20/02/2021 19:17:52
1,0.1274023,,,20/02/2021 19:17:53
1,,0.4705866,,20/02/2021 19:17:53
